NAME,TIPOINSTIT,TIPOINSTI2,TIPOLOCALI,TIPOLOCAL2,TIPOUNIDAD,TIPOUNIDA0,TIPOTIPOLO,TIPOTIPOL0,TIPOSUBTIP,TIPOSUBTI0,TIPOENTIDA,TIPOENTID0,TIPOMUNICI,TIPOMUNIC0,TIPOJURISD,TIPOJURIS0,CLAVE,NUMCONSUL,NUMCAM,NOMBRE,DOMICILIO,ASENTAMIEN,COLONIA,NOINT,NOEXT,OBSDIREC,CODPOST,RESPONSABL,LADA,TELEFONO,EMAIL,FECHACONST,FECHAINICI,MARCA,MODELO,CAPACIDAD,TIPOUNID01,TIPOUNID02,TIPOCARAV,TIPOCARAV2,TIPOTIPO01,TIPOTIPO02,TIPOCONTRO,TIPOCONTR0,TIPOMOVUNI,TIPOMOVUN0,TIPOESTUNI,TIPOESTAUN,OBSERV,FECHAALTA,FECHAMOV,TIPONIVELA,TIPONIVEL0,TIPOACREDI,TIPOESTACR,TIPOESTAC0,TIPOUNI,TIPOUNI2,TIPOOBRA,TIPOOBRA2,LATITUD,LONGITUD,OID
JCSSA000742,SSA,SECRETARIA DE SALUD,1,AYOTLAN,CE,UNIDAD DE CONSULTA EXTERNA,C,RURAL DE 03 NUCLEOS BASICOS Y MAS,NES,NO ESPECIFICADO,14,JALISCO,16,AYOTLAN,4,LA BARCA,JCSSA000742,3,4,CENTRO DE SALUD AYOTLAN,AVENIDA REVOLUCION,,CENTRO,,15,AVENIDA REVOLUCION 15  COL. CENTRO,47930,DRA. GLORIA IRMA BARBOZA LOPEZ,345,9180133,faguzper@hotmail.com,01/08/1973 12:00:00 a.m.,01/08/1973 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.5293,-102.33,11
JCSSA000754,SSA,SECRETARIA DE SALUD,1,AYOTLAN,CE,UNIDAD DE CONSULTA EXTERNA,P,UNIDAD MOVIL,NES,NO ESPECIFICADO,14,JALISCO,16,AYOTLAN,4,LA BARCA,JCSSA000754,0,0,MODULO AYOTLAN,AVENIDA REVOLUCION,,CENTRO,,15,AVENIDA REVOLUCION 15  COL. CENTRO,47930,ENF. MA. PATRICIA MORA GARCIA,345,9180133,anabetty_74@hotmail.com,,01/01/1997 12:00:00 a.m.,TORNADO,2005,700,4,OTRO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE QUEDO LA ABREVIACION DE COLONIA (COL.),31/12/2005 12:00:00 a.m.,02/04/2012 12:00:00 a.m.,1,PRIMER NIVEL,NES,NAP,NO APLICA,2,URBANO,NES,NO ESPECIFICADO,20.5293,-102.33,12
JCSSA000766,SSA,SECRETARIA DE SALUD,1,AYOTLAN,CE,UNIDAD DE CONSULTA EXTERNA,P,UNIDAD MOVIL,NES,NO ESPECIFICADO,14,JALISCO,16,AYOTLAN,4,LA BARCA,JCSSA000766,1,0,UNIDAD MOVIL AYOTLAN II,AVENIDA REVOLUCION,,CENTRO,,15,AVENIDA REVOLUCION 15  COL. CENTRO,47930,ENF. HILDA PALOMAR CEJA,345,9180133,anabetty_74@hotmail.com,,01/12/2002 12:00:00 a.m.,RANGER XL,2007,1077,4,OTRO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE QUEDO LA ABREVIACION DE COLONIA (COL.),31/12/2005 12:00:00 a.m.,02/04/2012 12:00:00 a.m.,1,PRIMER NIVEL,NES,NAP,NO APLICA,2,URBANO,NES,NO ESPECIFICADO,20.5294,-102.33,13
JCSSA000771,SSA,SECRETARIA DE SALUD,10,BETANIA,CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,16,AYOTLAN,4,LA BARCA,JCSSA000771,1,1,CENTRO DE SALUD BETANIA,SAMUEL CALVARIO,,CENTRO,,41,SAMUEL CALVARIO 41  COL. CENTRO,47935,ENF. MA. GABRIELA SALAZAR RAZO,345,9120369,faguzper@hotmail.com,01/01/1989 12:00:00 a.m.,01/01/1989 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.5839,-102.377,14
JCSSA000783,SSA,SECRETARIA DE SALUD,20,LA CONCEPCION,CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,16,AYOTLAN,4,LA BARCA,JCSSA000783,1,1,CENTRO DE SALUD LA CONCEPCION,LAZARO CARDENAS,,CENTRO,,SIN NUMERO,LAZARO CARDENAS SIN NUMERO  COL. CENTRO,47490,ENF. JAIME NU NEZ CERVANTES,345,9325507,faguzper@hotmail.com,01/09/1985 12:00:00 a.m.,01/09/1985 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,1,RURAL,NES,NO ESPECIFICADO,20.3491,-102.331,15
JCSSA000795,SSA,SECRETARIA DE SALUD,38,LA ISLA,CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,16,AYOTLAN,4,LA BARCA,JCSSA000795,1,2,CENTRO DE SALUD LA ISLA,SAN JOSE,,CENTRO,,30,SAN JOSE 30  COL. CENTRO,47946,ENF. MARIA CARMEN GUERRA RIOS,393,9180133,faguzper@hotmail.com,01/02/2000 12:00:00 a.m.,01/02/2000 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,1,RURAL,NES,NO ESPECIFICADO,20.4874,-102.351,16
JCSSA000800,SSA,SECRETARIA DE SALUD,72,LA RIBERA,CE,UNIDAD DE CONSULTA EXTERNA,B,RURAL DE 02 NUCLEOS BASICOS,NES,NO ESPECIFICADO,14,JALISCO,16,AYOTLAN,4,LA BARCA,JCSSA000800,2,3,CENTRO DE SALUD LA RIBERA,CAMINO REAL,,CENTRO,,26,CAMINO REAL 26  COL. CENTRO,47946,DRA. SILVIA ADRIANA ARIAS ESPINOZA,345,9180796,faguzper@hotmail.com,01/01/1990 12:00:00 a.m.,01/01/1990 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.3505,-102.286,17
JCSSA000812,SSA,SECRETARIA DE SALUD,89,SANTA RITA,CE,UNIDAD DE CONSULTA EXTERNA,A,RURAL DE 01 NUCLEO BASICO,NES,NO ESPECIFICADO,14,JALISCO,16,AYOTLAN,4,LA BARCA,JCSSA000812,1,0,CENTRO DE SALUD SANTA RITA,16 DE SEPTIEMBRE,,CENTRO,,45,16 DE SEPTIEMBRE 45  COL. CENTRO,47940,DRA. MARICELA GARCIA CERDA,345,9182682,faguzper@hotmail.com,01/06/1976 12:00:00 a.m.,01/06/1976 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,31/12/2005 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.4442,-102.391,18
JCSSA000894,SSA,SECRETARIA DE SALUD,1,LA BARCA,CE,UNIDAD DE CONSULTA EXTERNA,J,URBANO DE 07 NUCLEOS BASICOS,NES,NO ESPECIFICADO,14,JALISCO,18,LA BARCA,4,LA BARCA,JCSSA000894,10,0,CENTRO DE SALUD LA BARCA,VICENTE GUERRERO,,CENTRO,,174,VICENTE GUERRERO 174  COL. CENTRO,47910,DRA. VERONICA DE LA SOLEDAD BRAVO TORRES,393,9350040  9350954,faguzper@hotmail.com,10/08/1962 12:00:00 a.m.,10/08/1962 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,CAMBIO DE ESTATUS DE 2 A 1. SE TOMO LA DECISION DE VOLVER A UTILIZAR EL ESTABLECIMIENTO  SE TRASLADA A DICHO ESTABLECIMIENTO EL CENTRO DE SALUD CON CLUES JCSSA000923  LA CUAL SE DIO DE BAJA EL 20 DE DICIEMBRE DE 2012. POR LO ANTERIOR  ADICIONALMENTE SE S,31/12/2005 12:00:00 a.m.,21/02/2013 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.2845,-102.548,19
JCSSA000906,SSA,SECRETARIA DE SALUD,1,LA BARCA,CE,UNIDAD DE CONSULTA EXTERNA,P,UNIDAD MOVIL,NES,NO ESPECIFICADO,14,JALISCO,18,LA BARCA,4,LA BARCA,JCSSA000906,1,0,MODULO LA BARCA,AVENIDA RUIZ CORTINEZ,,CENTRO,,29,AVENIDA RUIZ CORTINEZ 29  COL. CENTRO,47910,DR. OSCAR MARCIAL FLORES HERNANDEZ,393,9351112,anabetty_74@hotmail.com,,01/01/1997 12:00:00 a.m.,TORNADO,2005,700,4,OTRO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE QUEDO LA ABREVIACION DE COLONIA (COL.),31/12/2005 12:00:00 a.m.,02/04/2012 12:00:00 a.m.,1,PRIMER NIVEL,NES,NAP,NO APLICA,2,URBANO,NES,NO ESPECIFICADO,20.299,-102.542,20
JCSSA000911,SSA,SECRETARIA DE SALUD,1,LA BARCA,CE,UNIDAD DE CONSULTA EXTERNA,P,UNIDAD MOVIL,NES,NO ESPECIFICADO,14,JALISCO,18,LA BARCA,4,LA BARCA,JCSSA000911,1,0,UNIDAD MOVIL LA BARCA,CALZADA ADOLFO RUIZ CORTINEZ,,CENTRO,,19,CALZADA ADOLFO RUIZ CORTINEZ 19  COL. CENTRO,47910,DR. SAULO SERGIO LEON SOLORIO,393,9351112,anabetty_74@hotmail.com,,01/11/2002 12:00:00 a.m.,TORNADO,2005,700,4,OTRO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE QUEDO LA ABREVIACION DE COLONIA (COL.),31/12/2005 12:00:00 a.m.,02/04/2012 12:00:00 a.m.,1,PRIMER NIVEL,NES,NAP,NO APLICA,2,URBANO,NES,NO ESPECIFICADO,20.2977,-102.543,21
JCSSA000923,SSA,SECRETARIA DE SALUD,1,LA BARCA,CE,UNIDAD DE CONSULTA EXTERNA,I,URBANO DE 06 NUCLEOS BASICOS,NES,NO ESPECIFICADO,14,JALISCO,18,LA BARCA,4,LA BARCA,JCSSA000923,7,0,CENTRO DE SALUD LA BARCA,CALZADA ADOLFO RUIZ CORTINEZ,,CENTRO,,19,CALZADA ADOLFO RUIZ CORTINEZ 19  COL. CENTRO,47910,DRA. VERONICA BRAVO TORRES,393,9351112,faguzper@hotmail.com,01/06/1992 12:00:00 a.m.,01/08/1962 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,B,BAJA,B,BAJA,2,FUERA DE OPERACION (TOTAL O PARCIAL),SE SOLICITA BAJA DE CLAVE CLUES  POR CAMBIO DE DOMICILIO; ESTE EDIFICIO SE VA A UTILIZAR PARA AMPLIAR LA REGION SANITARIA QUE SE ENCUENTRA A UN LADO DE DICHO ESTABLECIMIENTO. VALIDADO POR REGION SANITARIA Y POR EL DEPARTAMENTO DE PROGRAMACION Y PRESUPUES,31/12/2005 12:00:00 a.m.,20/12/2012 12:00:00 a.m.,1,PRIMER NIVEL,1,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.2963,-102.543,22
JCSSA013815,SSA,SECRETARIA DE SALUD,1,LA BARCA,HO,UNIDAD DE HOSPITALIZACION,M,HOSPITAL GENERAL,NES,NO ESPECIFICADO,14,JALISCO,18,LA BARCA,4,LA BARCA,JCSSA013815,11,106,HOSPITAL REGIONAL LA BARCA,VENUS,,FRACCIONAMIENTO JARDINES DEL SOL,,84,VENUS 84  FRACCIONAMIENTO JARDINES DEL SOL,47913,DR. GERARDO AURELIANO GUTIERREZ ZAVALA,393,7595980  7595985,draure_cg@hotmail.com,01/01/2009 12:00:00 a.m.,25/11/2011 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,A,ALTA,A,ALTA,1,EN OPERACION,SE SOLICITA ALTA POR SUSTITUCION DE OBRA NUEVA CON DOMICILIO DIFERENTE  ESTE SUSTITUYE A LA CLUES JCSSA000894. NO SE HABIA SOLICITADO ANTES  YA QUE CREIAMOS QUE EL HOSPITAL LO IBA A HACER  DETECTANDO QUE NO SE HABIA SOLICITADO Y POR ESO LO HICIMOS.,02/04/2012 12:00:00 a.m.,02/04/2012 12:00:00 a.m.,2,SEGUNDO NIVEL,6,1,ACREDITADA,2,URBANO,NES,NO ESPECIFICADO,20.2909,-102.545,23
JCSSA012952,SSA,SECRETARIA DE SALUD,1,LA BARCA,EA,ESTABLECIMIENTO DE APOYO,LAB,LABORATORIOS,NES,NO ESPECIFICADO,14,JALISCO,18,LA BARCA,4,LA BARCA,JCSSA012952,0,0,LABORATORIO DE SALUD PUBLICA,AVENIDA ADOLFO RUIZ CORTINEZ,,SANTA MONICA,,29,AVENIDA ADOLFO RUIZ CORTINEZ 29  COL. SANTA MONICA,47910,T.L. MARIA IMELDA BRISE NO CASTELLANOS,393,9351112,,01/01/1992 12:00:00 a.m.,01/01/1993 12:00:00 a.m.,,,,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE ACTUALIZARON DATOS,30/08/2006 12:00:00 a.m.,10/05/2011 12:00:00 a.m.,0,NO APLICA,NES,NAP,NO APLICA,2,URBANO,NES,NO ESPECIFICADO,20.2961,-102.543,24
JCSSA013226,SSA,SECRETARIA DE SALUD,1,LA BARCA,CE,UNIDAD DE CONSULTA EXTERNA,P,UNIDAD MOVIL,NES,NO ESPECIFICADO,14,JALISCO,18,LA BARCA,4,LA BARCA,JCSSA013226,1,0,UNIDAD MOVIL DE ATENCION A LA SALUD DE LA MUJER,AVENIDA ADOLFO RUIZ CORTINEZ,,SANTA MONICA,,29,AVENIDA ADOLFO RUIZ CORTINEZ 29  COL. SANTA MONICA,47910,DRA. AMELIA BERTHA TORRES PEREZ,393,9350967,dra_ame623@hotmail.com,,01/04/2008 12:00:00 a.m.,MERCEDES BENZ,2008,15000,4,OTRO,NES,NO ESPECIFICADO,NES,NO ESPECIFICADO,C,CAMBIO,C,CAMBIO,1,EN OPERACION,SE QUEDO LA ABREVIACION DE COLONIA (COL.),01/07/2008 12:00:00 a.m.,02/04/2012 12:00:00 a.m.,1,PRIMER NIVEL,NES,NAP,NO APLICA,2,URBANO,NES,NO ESPECIFICADO,20.3915,-103.131,25
